error	steps
192106423.0	618.0
192104362.0	619.0
192104362.0	620.0
192102184.0	621.0
192100782.0	622.0
192100782.0	623.0
192100782.0	624.0
192100067.0	625.0
192071615.0	626.0
192069713.0	627.0
192069713.0	628.0
192069713.0	629.0
192069713.0	630.0
192068799.0	631.0
192068799.0	632.0
192066418.0	633.0
192066418.0	634.0
192066418.0	635.0
192066418.0	636.0
192066418.0	637.0
192066188.0	638.0
192066188.0	639.0
192066188.0	640.0
192066188.0	641.0
192062450.0	642.0
192062450.0	643.0
192050535.0	644.0
192050535.0	645.0
192050535.0	646.0
192050535.0	647.0
192050535.0	648.0
192050017.0	649.0
192045173.0	650.0
192044585.0	651.0
192015084.0	652.0
192015084.0	653.0
192015084.0	654.0
192005879.0	655.0
192005215.0	656.0
192003216.0	657.0
192002587.0	658.0
191996557.0	659.0
191996557.0	660.0
191876784.0	661.0
191876784.0	662.0
191876649.0	663.0
191876649.0	664.0
191876649.0	665.0
191876649.0	666.0
191876649.0	667.0
191876649.0	668.0
191871909.0	669.0
191859717.0	670.0
191859249.0	671.0
191859249.0	672.0
191856828.0	673.0
191851957.0	674.0
191851442.0	675.0
191851442.0	676.0
191847612.0	677.0
191847612.0	678.0
191847612.0	679.0
191846968.0	680.0
191846968.0	681.0
191846968.0	682.0
191846968.0	683.0
191846968.0	684.0
191846968.0	685.0
191846968.0	686.0
191846968.0	687.0
191846407.0	688.0
191844986.0	689.0
191843854.0	690.0
191843854.0	691.0
191843854.0	692.0
191843854.0	693.0
191843842.0	694.0
191843842.0	695.0
191843842.0	696.0
191843842.0	697.0
191840847.0	698.0
191840103.0	699.0
191839286.0	700.0
191834433.0	701.0
191832739.0	702.0
191832432.0	703.0
191832432.0	704.0
191832432.0	705.0
191831383.0	706.0
191831383.0	707.0
191831232.0	708.0
191831232.0	709.0
191830986.0	710.0
191830986.0	711.0
191830986.0	712.0
191830730.0	713.0
191830035.0	714.0
191830035.0	715.0
191830035.0	716.0
191830035.0	717.0
191830035.0	718.0
191811832.0	719.0
